shortcode,media_id,creation_time                  (seconds wrt IG epoch),published_time (unix),published_time     (utc),epoch_estimate    (utc),is_multiple,count,is_video,vid_duration,off_by
CErbu64HnZ1,2.39E+18,284925222.3,1599145243,2020-09-03 15:00:43,2011-08-24 21:07:00,TRUE,3,Contains at least one video,None,0
CEnRT_MnNOa,2.39E+18,284785541,1599005562,2020-09-02 0:12:42,2011-08-24 21:07:00,TRUE,10,FALSE,None,0
CEEweSxnNen,2.38E+18,283627473.3,1597847494,2020-08-19 14:31:34,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
CDz10mzHxfV,2.37E+18,283059852.1,1597279873,2020-08-13 0:51:13,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
CDgwqMUHiJ5,2.37E+18,282419611.2,1596639632,2020-08-05 15:00:32,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
CDMPE1oH_Z1,2.36E+18,281730915,1595950936,2020-07-28 15:42:16,2011-08-24 21:07:00,TRUE,5,Contains at least one video,None,0
CByXUx9H0C4,2.34E+18,278715341.1,1592935362,2020-06-23 18:02:42,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
CBhak2anSRn,2.33E+18,278146620.2,1592366641,2020-06-17 4:04:01,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
CAtTxPNnDZJ,2.32E+18,276398221.2,1590618242,2020-05-27 22:24:02,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
CAdxJ1tH8zx,2.31E+18,275876756.2,1590096777,2020-05-21 21:32:57,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
CAbFm9wHAvm,2.31E+18,275786817.2,1590006838,2020-05-20 20:33:58,2011-08-24 21:07:00,TRUE,3,Contains at least one video,None,0
B-tD5wdn0Ln,2.28E+18,272094935.1,1586314956,2020-04-08 3:02:36,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
B-DOg3yHe67,2.27E+18,270691212.3,1584911233,2020-03-22 21:07:13,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
B92lLflH7CZ,2.27E+18,270266888.1,1584486909,2020-03-17 23:15:09,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
B9gvRTNnP2H,2.26E+18,269533981.1,1583754002,2020-03-09 11:40:02,2011-08-24 21:07:00,TRUE,10,Contains at least one video,None,0
BzLpR1ynHla,2.07E+18,247351360.2,1561571381,2019-06-26 17:49:41,2011-08-24 21:07:00,TRUE,3,Contains at least one video,None,0
BzG1ZXRA86E,2.07E+18,247189941.2,1561409962,2019-06-24 20:59:22,2011-08-24 21:07:00,TRUE,2,Contains at least one video,None,0
ByTYWPHH1yc,2.06E+18,245463435.2,1559683456,2019-06-04 21:24:16,2011-08-24 21:07:00,TRUE,10,FALSE,None,0
ByRVCqGHyos,2.06E+18,245394593,1559614614,2019-06-04 2:16:54,2011-08-24 21:07:00,TRUE,7,FALSE,None,0
Bx01BnEnkGx,2.05E+18,244438283.1,1558658304,2019-05-24 0:38:24,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BxquAEkn9PG,2.05E+18,244099056.2,1558319077,2019-05-20 2:24:37,2011-08-24 21:07:00,TRUE,2,Contains at least one video,None,0
Bxi7mQGHpmm,2.05E+18,243837749.3,1558057770,2019-05-17 1:49:30,2011-08-24 21:07:00,TRUE,4,FALSE,None,0
Bw0e98sneNF,2.03E+18,242279235.2,1556499256,2019-04-29 0:54:16,2011-08-24 21:07:00,TRUE,3,Contains at least one video,None,0
Bw0EGdynw8v,2.03E+18,242265149.2,1556485170,2019-04-28 20:59:30,2011-08-24 21:07:00,TRUE,8,FALSE,None,0
BwiawI_H08s,2.03E+18,241673045.1,1555893066,2019-04-22 0:31:06,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BwSlyLMnkSf,2.02E+18,241141958,1555361979,2019-04-15 20:59:39,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BwRRHmQntQH,2.02E+18,241097569.1,1555317590,2019-04-15 8:39:50,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
Bvwt0cQHdb7,2.01E+18,240005320.2,1554225341,2019-04-02 17:15:41,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BvsSGnFnsHI,2.01E+18,239856571.3,1554076592,2019-03-31 23:56:32,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BvA1437n0oI,2.00E+18,238398938.1,1552618959,2019-03-15 3:02:39,2011-08-24 21:07:00,TRUE,3,FALSE,None,0
BuXff_GHsiF,1.99E+18,237011468.2,1551231489,2019-02-27 1:38:09,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
BuVJstNn5b-,1.99E+18,236932929.2,1551152950,2019-02-26 3:49:10,2011-08-24 21:07:00,TRUE,3,Contains at least one video,None,0
BuS719enNxy,1.99E+18,236858556.1,1551078577,2019-02-25 7:09:37,2011-08-24 21:07:00,TRUE,2,Contains at least one video,None,0
BuEzbCgnVYE,1.98E+18,236384379.2,1550604400,2019-02-19 19:26:40,2011-08-24 21:07:00,TRUE,4,FALSE,None,0
BuAgXn6HsfJ,1.98E+18,236240172,1550460193,2019-02-18 3:23:13,2011-08-24 21:07:00,TRUE,5,FALSE,None,0
CFPzcZ5n_A4,2.40E+18,286145613,1600365634,2020-09-17 18:00:34,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CFC2YlphCUo,2.40E+18,285710947,1599930968,2020-09-12 17:16:08,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CEav2jYB12H,2.39E+18,284365345.2,1598585366,2020-08-28 3:29:26,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CD-jvjJnOPE,2.38E+18,283419472.3,1597639493,2020-08-17 4:44:53,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CD3_TrdHi3-,2.38E+18,283199043,1597419064,2020-08-14 15:31:04,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CDZRkklHofo,2.37E+18,282168431.2,1596388452,2020-08-02 17:14:12,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CCfgyzcH5yW,2.35E+18,280230255,1594450276,2020-07-11 6:51:16,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CAIXtzqnb8n,2.31E+18,275158776.3,1589378797,2020-05-13 14:06:37,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CAENTuwHqW6,2.31E+18,275019102,1589239123,2020-05-11 23:18:43,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B_8LoAxnLrD,2.30E+18,274749784.2,1588969805,2020-05-08 20:30:05,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B_5H9jPH3sA,2.30E+18,274647200.2,1588867221,2020-05-07 16:00:21,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B_4MtEuHqjR,2.30E+18,274616132.2,1588836153,2020-05-07 7:22:33,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B--VLLgnwqS,2.29E+18,272674416.1,1586894437,2020-04-14 20:00:37,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B9fZsvaniHZ,2.26E+18,269489117.1,1583709138,2020-03-08 23:12:18,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B8fj0yiHxjY,2.24E+18,267346942.3,1581566963,2020-02-13 4:09:23,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
By-zM6An9Ro,2.07E+18,246920355.1,1561140376,2019-06-21 18:06:16,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Byg9188HJmN,2.06E+18,245919301.2,1560139322,2019-06-10 4:02:02,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
ByX--7KnKho,2.06E+18,245617909.1,1559837930,2019-06-06 16:18:50,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
ByLXldoHAs8,2.06E+18,245194600.1,1559414621,2019-06-01 18:43:41,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
Bx265txHxtR,2.05E+18,244508473.1,1558728494,2019-05-24 20:08:14,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BxuxbWSHA_y,2.05E+18,244235070.2,1558455091,2019-05-21 16:11:31,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BxqXgA3nKOK,2.05E+18,244087259.2,1558307280,2019-05-19 23:08:00,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BxYpHLLnn4I,2.04E+18,243492513.2,1557712534,2019-05-13 1:55:34,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BxLT1jSnYmF,2.04E+18,243045151.1,1557265172,2019-05-07 21:39:32,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BxGmh_RnAFb,2.04E+18,242887180.2,1557107201,2019-05-06 1:46:41,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BwiinzrH1rr,2.03E+18,241677171.2,1555897192,2019-04-22 1:39:52,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BwQVsnenHiw,2.02E+18,241066415,1555286436,2019-04-15 0:00:36,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BwDRpLwnynk,2.02E+18,240628082.1,1554848103,2019-04-09 22:15:03,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BvYYK-nnMH-,2.01E+18,239188664.1,1553408685,2019-03-24 6:24:45,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BvS-elYnhLP,2.00E+18,239007421.1,1553227442,2019-03-22 4:04:02,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BvKIk82nYgw,2.00E+18,238710726.3,1552930747,2019-03-18 17:39:07,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BuwtKSInXLI,2.00E+18,237857491.2,1552077512,2019-03-08 20:38:32,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
BuuRhVFnJF9,1.99E+18,237775891.1,1551995912,2019-03-07 21:58:32,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
CFSKcpkHan6,2.40E+18,286224782.5,1600444804,2020-09-18 16:00:04,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
CFG0-c3hU04,2.40E+18,285844426.4,1600064448,2020-09-14 6:20:48,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
CE5By8aHbN9,2.39E+18,285381385.8,1599601407,2020-09-08 21:43:27,2011-08-24 21:07:01,TRUE,6,Contains at least one video,None,1
CEwzA14nXcM,2.39E+18,285105199.9,1599325221,2020-09-05 17:00:21,2011-08-24 21:07:01,TRUE,4,FALSE,None,1
CEpL1f3HwWn,2.39E+18,284849778.7,1599069800,2020-09-02 18:03:20,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
CEnaiXpnoWR,2.39E+18,284790377.4,1599010399,2020-09-02 1:33:19,2011-08-24 21:07:01,TRUE,4,FALSE,None,1
CEUsAUcHhvT,2.38E+18,284162001.5,1598382023,2020-08-25 19:00:23,2011-08-24 21:07:01,TRUE,5,FALSE,None,1
