shortcode,media_id,creation_time (seconds wrt IG epoch),published_time (unix),published_time (utc),epoch_estimate (utc),is_multiple,count,is_video,vid_duration,off_by
B01V7Q3gZLh,2104684832402540000,250897983.6,1565118005,2019-08-06 19:00:05,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
B0d16GeHHwP,2098070090566890000,250109444.9,1564329466,2019-07-28 15:57:46,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B0FYvwAnKsU,2091186436465010000,249288849.4,1563508920,2019-07-19 4:02:00,2011-08-24 21:07:50,FALSE,None,TRUE,19.148,50
B0Rwlpmneky,2094668995228460000,249704002.8,1563924024,2019-07-23 23:20:24,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B_0S-7SHzdU,2302548798592730000,274485206.4,1588705228,2020-05-05 19:00:28,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B0TZmFdnidN,2095130820025920000,249759056.6,1563979078,2019-07-24 14:37:58,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B_0uaKpHUKj,2302669417766270000,274499585.4,1588719607,2020-05-05 23:00:07,2011-08-24 21:07:01,TRUE,3,FALSE,None,1
B0yc1m7n8ET,2103870805172540000,250800944,1565020965,2019-08-05 16:02:45,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
B_4MtEuHqjR,2303647083403320000,274616132.2,1588836153,2020-05-07 7:22:33,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B-5dIJRHD_E,2285986388922610000,272510813.3,1586730835,2020-04-12 22:33:55,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B_5H9jPH3sA,2303907700425060000,274647200.2,1588867221,2020-05-07 16:00:21,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B_7wW08HeWL,2304648309234330000,274735487.6,1588955509,2020-05-08 16:31:49,2011-08-24 21:07:01,TRUE,2,Contains at least one video,None,1
B82QOjinrUv,2249056432896780000,268108419.5,1582328820,2020-02-21 23:47:00,2011-08-24 21:13:20,FALSE,None,TRUE,30.025,380
B85oq4MHFa2,2250008357259470000,268221897.8,1582441919,2020-02-23 7:11:59,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B873QzrHIoC,2250635486355560000,268296657.4,1582516679,2020-02-24 3:57:59,2011-08-24 21:07:01,TRUE,5,Contains at least one video,None,1
B8fj0yiHxjY,2242668698754030000,267346942.3,1581566963,2020-02-13 4:09:23,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B8jbOimnr0c,2243756785844270000,267476652.4,1581696705,2020-02-14 16:11:45,2011-08-24 21:07:32,FALSE,None,TRUE,11.1,32
B_8LoAxnLrD,2304768237429900000,274749784.2,1588969805,2020-05-08 20:30:05,2011-08-24 21:07:00,FALSE,None,FALSE,None,0
B8lRyG2Hzl4,2244278199429050000,267538809.7,1581758831,2020-02-15 9:27:11,2011-08-24 21:07:01,TRUE,7,FALSE,None,1
B8p4vA9H00n,2245575410666390000,267693449.3,1581913471,2020-02-17 4:24:31,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B8pOSfPn8OJ,2245388732370760000,267671195.6,1581891293,2020-02-16 22:14:53,2011-08-24 21:08:17,FALSE,None,TRUE,30.025,77
B8Rh3V5nlOf,2238719428401190000,266876152.6,1581096198,2020-02-07 17:23:18,2011-08-24 21:07:25,FALSE,None,TRUE,15.043,25
B8SUROIH2NN,2238941109086540000,266902579,1581122600,2020-02-08 0:43:20,2011-08-24 21:07:01,TRUE,3,Contains at least one video,None,1
B8Ui4LvnT4k,2239568309192050000,266977347,1581197454,2020-02-08 21:30:54,2011-08-24 21:08:26,FALSE,None,TRUE,19.1,86
B8vLLrkH5FJ,2247063920283980000,267870893.5,1582090915,2020-02-19 5:41:55,2011-08-24 21:07:01,TRUE,2,FALSE,None,1
B8WrfbyHGI4,2240169140798910000,267048971.7,1581269228,2020-02-09 17:27:08,2011-08-24 21:10:56,FALSE,None,TRUE,24,236
B8ww2BeHKUd,2247511032721090000,267924193.5,1582144243,2020-02-19 20:30:43,2011-08-24 21:07:29,FALSE,None,TRUE,7.869,29
B8X0Z5WHN86,2240489817619880000,267087199.4,1581307221,2020-02-10 4:00:21,2011-08-24 21:07:01,FALSE,None,FALSE,None,1
B92lLflH7CZ,2267162979971610000,270266888.1,1584486909,2020-03-17 23:15:09,2011-08-24 21:07:00,TRUE,2,FALSE,None,0
