shortcode,media_id,mediaID_sec,created_at_unix,created_at_utc,epoch_estimate,is_multiple,count,is_video,vid_duration,off_by
B01V7Q3gZLh,2.10468483240254E+018,250897983.599,1565118005,2019-08-06 19:00:05,2011-08-24 21:07:01,True,2,False,None,1
B0d16GeHHwP,2.09807009056689E+018,250109444.924,1564329466,2019-07-28 15:57:46,2011-08-24 21:07:01,False,None,False,None,1
B0FYvwAnKsU,2.09118643646501E+018,249288849.409,1563508920,2019-07-19 04:02:00,2011-08-24 21:07:50,False,None,True,19.148,50
B0Rwlpmneky,2.09466899522846E+018,249704002.765,1563924024,2019-07-23 23:20:24,2011-08-24 21:07:01,True,3,False,None,1
B_0S-7SHzdU,2.30254879859273E+018,274485206.436,1588705228,2020-05-05 19:00:28,2011-08-24 21:07:01,False,None,False,None,1
B0TZmFdnidN,2.09513082002592E+018,249759056.571,1563979078,2019-07-24 14:37:58,2011-08-24 21:07:01,False,None,False,None,1
B_0uaKpHUKj,2.30266941776627E+018,274499585.362,1588719607,2020-05-05 23:00:07,2011-08-24 21:07:01,True,3,False,None,1
B0yc1m7n8ET,2.10387080517254E+018,250800943.991,1565020965,2019-08-05 16:02:45,2011-08-24 21:07:01,True,2,Contains at least one video,None,1
B_4MtEuHqjR,2.30364708340332E+018,274616132.188,1588836153,2020-05-07 07:22:33,2011-08-24 21:07:00,False,None,False,None,0
B-5dIJRHD_E,2.28598638892261E+018,272510813.346,1586730835,2020-04-12 22:33:55,2011-08-24 21:07:01,False,None,False,None,1
B_5H9jPH3sA,2.30390770042506E+018,274647200.158,1588867221,2020-05-07 16:00:21,2011-08-24 21:07:00,False,None,False,None,0
B_7wW08HeWL,2.30464830923433E+018,274735487.608,1588955509,2020-05-08 16:31:49,2011-08-24 21:07:01,True,2,Contains at least one video,None,1
B82QOjinrUv,2.24905643289678E+018,268108419.525,1582328820,2020-02-21 23:47:00,2011-08-24 21:13:20,False,None,True,30.025,380
B85oq4MHFa2,2.25000835725947E+018,268221897.752,1582441919,2020-02-23 07:11:59,2011-08-24 21:07:01,False,None,False,None,1
B873QzrHIoC,2.25063548635556E+018,268296657.366,1582516679,2020-02-24 03:57:59,2011-08-24 21:07:01,True,5,Contains at least one video,None,1
B8fj0yiHxjY,2.24266869875403E+018,267346942.276,1581566963,2020-02-13 04:09:23,2011-08-24 21:07:00,False,None,False,None,0
B8jbOimnr0c,2.24375678584427E+018,267476652.365,1581696705,2020-02-14 16:11:45,2011-08-24 21:07:32,False,None,True,11.1,32
B_8LoAxnLrD,2.3047682374299E+018,274749784.163,1588969805,2020-05-08 20:30:05,2011-08-24 21:07:00,False,None,False,None,0
B8lRyG2Hzl4,2.24427819942905E+018,267538809.708,1581758831,2020-02-15 09:27:11,2011-08-24 21:07:01,True,7,False,None,1
B8p4vA9H00n,2.24557541066639E+018,267693449.338,1581913471,2020-02-17 04:24:31,2011-08-24 21:07:01,False,None,False,None,1
B8pOSfPn8OJ,2.24538873237076E+018,267671195.551,1581891293,2020-02-16 22:14:53,2011-08-24 21:08:17,False,None,True,30.025,77
B8Rh3V5nlOf,2.23871942840119E+018,266876152.563,1581096198,2020-02-07 17:23:18,2011-08-24 21:07:25,False,None,True,15.043,25
B8SUROIH2NN,2.23894110908654E+018,266902578.96,1581122600,2020-02-08 00:43:20,2011-08-24 21:07:01,True,3,Contains at least one video,None,1
B8Ui4LvnT4k,2.23956830919205E+018,266977347.039,1581197454,2020-02-08 21:30:54,2011-08-24 21:08:26,False,None,True,19.1,86
B8vLLrkH5FJ,2.24706392028398E+018,267870893.512,1582090915,2020-02-19 05:41:55,2011-08-24 21:07:01,True,2,False,None,1
B8WrfbyHGI4,2.24016914079891E+018,267048971.748,1581269228,2020-02-09 17:27:08,2011-08-24 21:10:56,False,None,True,24,236
B8ww2BeHKUd,2.24751103272109E+018,267924193.468,1582144243,2020-02-19 20:30:43,2011-08-24 21:07:29,False,None,True,7.869,29
B8X0Z5WHN86,2.24048981761988E+018,267087199.404,1581307221,2020-02-10 04:00:21,2011-08-24 21:07:01,False,None,False,None,1
B92lLflH7CZ,2.26716297997161E+018,270266888.138,1584486909,2020-03-17 23:15:09,2011-08-24 21:07:00,True,2,False,None,0
B97iBvnHUSI,2.26855649073413E+018,270433007.566,1584653029,2020-03-19 21:23:49,2011-08-24 21:07:01,False,None,False,None,1
B9ApgciHsiZ,2.25198236325267E+018,268457217.604,1582677239,2020-02-26 00:33:59,2011-08-24 21:07:01,True,5,Contains at least one video,None,1
B9cwKdsnLkR,2.25989293834743E+018,269400231.641,1583620253,2020-03-07 22:30:53,2011-08-24 21:07:01,True,4,False,None,1
B9fLG9FHoz5,2.2605743943759E+018,269481467.53,1583701551,2020-03-08 21:05:51,2011-08-24 21:08:03,False,None,True,40.735,63
B9fZsvaniHZ,2.26063856369547E+018,269489117.109,1583709138,2020-03-08 23:12:18,2011-08-24 21:07:00,False,None,False,None,0
B9gvRTNnP2H,2.2610149099866E+018,269533981.083,1583754002,2020-03-09 11:40:02,2011-08-24 21:07:00,True,10,Contains at least one video,None,0
B9i2lLVHioD,2.26161001219111E+018,269604922.794,1583824944,2020-03-10 07:22:24,2011-08-24 21:07:01,True,10,False,None,1
B9kbf_bHJV5,2.262053858507E+018,269657833.398,1583877855,2020-03-10 22:04:15,2011-08-24 21:07:01,True,3,False,None,1
B9mdRTAHXCk,2.2626245947832E+018,269725870.464,1583946008,2020-03-11 17:00:08,2011-08-24 21:08:57,False,None,True,196.48,117
B9N4vFmnBnX,2.25570851481899E+018,268901409.485,1583121543,2020-03-02 03:59:03,2011-08-24 21:08:53,False,None,True,7.803,113
B9NJTAGnWUH,2.25549987658212E+018,268876537.869,1583096559,2020-03-01 21:02:39,2011-08-24 21:07:01,False,None,False,None,1
B9oNvhDnNwB,2.26311925266782E+018,269784838.279,1584004860,2020-03-12 09:21:00,2011-08-24 21:07:01,True,8,False,None,1
B9SJjyGnlHP,2.25690840466446E+018,269044447.501,1583264469,2020-03-03 19:41:09,2011-08-24 21:07:01,True,3,False,None,1
B9UmNAXHGRZ,2.25759733272782E+018,269126574.126,1583346615,2020-03-04 18:30:15,2011-08-24 21:07:20,False,None,True,3.966,20
B9Vn0BOHIpR,2.25788588673339E+018,269160972.444,1583380994,2020-03-05 04:03:14,2011-08-24 21:07:01,False,None,False,None,1
B9Vuje3nc06,2.25791553666271E+018,269164506.991,1583384550,2020-03-05 05:02:30,2011-08-24 21:07:23,False,None,True,28.35,23
B9xQiGAnOPx,2.26566479920319E+018,270088291.073,1584308405,2020-03-15 21:40:05,2011-08-24 21:08:33,False,None,True,3.1,93
B9z3I6VnjXO,2.26639754245113E+018,270175640.875,1584396008,2020-03-16 22:00:08,2011-08-24 21:12:47,False,None,True,57.713,347
B9Zsm7gnRJO,2.25903287738755E+018,269297704.385,1583517743,2020-03-06 18:02:23,2011-08-24 21:07:18,False,None,True,28.141,18
Ba4TrHhFq3S,1.63714499044171E+018,195162891.202,1509382912,2017-10-30 17:01:52,2011-08-24 21:07:00,False,None,False,None,0
Ba4YTALl9_e,1.63716532353E+018,195165315.095,1509385336,2017-10-30 17:42:16,2011-08-24 21:07:00,False,None,True,60.018,0
BaAznoalfn8,1.62152288968075E+018,193300591.669,1507520613,2017-10-09 03:43:33,2011-08-24 21:07:01,False,None,False,None,1
BaEtB-plcrw,1.62261981384237E+018,193431355.219,1507651376,2017-10-10 16:02:56,2011-08-24 21:07:00,False,None,True,60.018,0
BaH52zuF5hV,1.62352064572736E+018,193538742.748,1507758764,2017-10-11 21:52:44,2011-08-24 21:07:01,False,None,False,None,1
BaH6u-WFTMI,1.62352450542641E+018,193539202.86,1507759224,2017-10-11 22:00:24,2011-08-24 21:07:01,False,None,False,None,1
BamlHIGFavt,1.63215513241765E+018,194568053.772,1508788075,2017-10-23 19:47:55,2011-08-24 21:07:01,False,None,True,59.435,1
BaMxXHQlWiB,1.62489065819534E+018,193702060.961,1507922082,2017-10-13 19:14:42,2011-08-24 21:07:01,False,None,True,3,1
BaR5O3MF8Zm,1.62633265043995E+018,193873959.832,1508093981,2017-10-15 18:59:41,2011-08-24 21:07:01,False,None,False,None,1
BarI8-_F_Lq,1.63343866502316E+018,194721062.782,1508941084,2017-10-25 14:18:04,2011-08-24 21:07:01,False,None,True,8.866,1
BaUlj0BFrL1,1.62709055414303E+018,193964308.994,1508184330,2017-10-16 20:05:30,2011-08-24 21:07:01,False,None,True,51.885,1
BaXEbXNloUC,1.62778926285367E+018,194047601.563,1508267623,2017-10-17 19:13:43,2011-08-24 21:07:01,False,None,False,None,1
BaxQEqflsJk,1.63515882896142E+018,194926122.303,1509146144,2017-10-27 23:15:44,2011-08-24 21:07:01,False,None,True,4.8,1
Bb46TdKF3ID,1.65532928673418E+018,197330628.244,1511550667,2017-11-24 19:11:07,2011-08-24 21:07:18,False,None,True,13,18
B-bAtu8HEmQ,2.27741717934298E+018,271489283.96,1585709305,2020-04-01 02:48:25,2011-08-24 21:07:01,True,8,False,None,1
BbdNxuzlx3j,1.64753363080414E+018,196401313.639,1510621335,2017-11-14 01:02:15,2011-08-24 21:07:01,False,None,True,44.711,1
BbewmljFc5M,1.64796827155391E+018,196453126.854,1510673148,2017-11-14 15:25:48,2011-08-24 21:07:01,False,None,False,None,1
BbfuLrKlEHz,1.64823910104303E+018,196485412.245,1510705433,2017-11-15 00:23:53,2011-08-24 21:07:00,False,None,False,None,0
BbKFri9l69-,1.6421499968406E+018,195759534.459,1509979556,2017-11-06 14:45:56,2011-08-24 21:07:01,False,None,False,None,1
BbLCCw3llDW,1.64241547511086E+018,195791181.935,1510011203,2017-11-06 23:33:23,2011-08-24 21:07:01,False,None,True,59.935,1
BbltHuRldRg,1.64992328131765E+018,196686182.179,1510906203,2017-11-17 08:10:03,2011-08-24 21:07:00,False,None,False,None,0
Bbs4PIKlkKg,1.65194249350246E+018,196926891.029,1511146912,2017-11-20 03:01:52,2011-08-24 21:07:00,False,None,False,None,0
BbuwouhFTLu,1.65247201825031E+018,196990015.298,1511210037,2017-11-20 20:33:57,2011-08-24 21:07:01,True,8,False,None,1
BbzbWCylFZJ,1.65378575025546E+018,197146624.357,1511366646,2017-11-22 16:04:06,2011-08-24 21:07:01,False,None,False,None,1
Bc18TDpl-Mn,1.67250802901778E+018,199378493.907,1513598564,2017-12-18 12:02:44,2011-08-24 21:07:50,False,None,True,10,50
Bc2Q7gkF7xg,1.6725987697733E+018,199389311.048,1513609392,2017-12-18 15:03:12,2011-08-24 21:08:00,False,None,True,10,60
Bc39rVZFSOw,1.6730770453355E+018,199446325.938,1513666347,2017-12-19 06:52:27,2011-08-24 21:07:01,False,None,False,None,1
Bc5fP_KleiK,1.67350617460218E+018,199497482.133,1513717503,2017-12-19 21:05:03,2011-08-24 21:07:00,False,None,False,None,0
Bc5l6Pdl4KN,1.67353546659801E+018,199500974.011,1513720995,2017-12-19 22:03:15,2011-08-24 21:07:00,False,None,False,None,0
Bc5Pi67l-oI,1.67343710698156E+018,199489248.631,1513709270,2017-12-19 18:47:50,2011-08-24 21:07:01,False,None,False,None,1
Bc5spM7l_Ke,1.6735650819746E+018,199504504.439,1513724526,2017-12-19 23:02:06,2011-08-24 21:07:01,False,None,False,None,1
Bc5X7cqll3V,1.673473976843E+018,199493643.861,1513713665,2017-12-19 20:01:05,2011-08-24 21:07:01,False,None,False,None,1
Bc6JK-YlrFa,1.67369054811945E+018,199519461.169,1513739685,2017-12-20 03:14:45,2011-08-24 21:10:23,False,None,True,19,203
Bc785USlFcg,1.67419950808566E+018,199580133.925,1513800262,2017-12-20 20:04:22,2011-08-24 21:08:48,False,None,True,4,108
BcAYUuoFq_k,1.65743164044284E+018,197581248.336,1511801473,2017-11-27 16:51:13,2011-08-24 21:10:24,False,None,True,60,204
BcBZHzVlHnD,1.65771662517105E+018,197615221.163,1511835294,2017-11-28 02:14:54,2011-08-24 21:07:52,False,None,True,14,52
BcEoRbzlzoV,1.65862768272731E+018,197723827.687,1511943849,2017-11-29 08:24:09,2011-08-24 21:07:01,False,None,False,None,1
BcGBo6TFhHV,1.65902072215543E+018,197770681.638,1511990703,2017-11-29 21:25:03,2011-08-24 21:07:01,True,4,False,None,1
BcIZJ2iFpFi,1.65968709087806E+018,197850118.98,1512070140,2017-11-30 19:29:00,2011-08-24 21:07:01,True,3,False,None,1
BcpnCzxFYNx,1.66903685375469E+018,198964697.57,1513184835,2017-12-13 17:07:15,2011-08-24 21:08:57,False,None,True,16,117
Bc-q5znlEKv,1.6749648018169E+018,199671364.047,1513891385,2017-12-21 21:23:05,2011-08-24 21:07:00,True,2,False,None,0
BcSyPoSFCZS,1.66261218882382E+018,198198817.828,1512418922,2017-12-04 20:22:02,2011-08-24 21:08:24,False,None,True,60,84
